-2.31,10,-1
-2.30,10,-0.9892473118
-2.30,10,-0.9784946237
-2.28,10,-0.9677419355
-2.22,10,-0.9569892473
-2.18,10,-0.9462365591
-2.16,10,-0.935483871
-2.13,10,-0.9247311828
-2.11,10,-0.9139784946
-2.05,10,-0.9032258065
-2.04,10,-0.8924731183
-1.99,10,-0.8817204301
-1.95,10,-0.8709677419
-1.93,10,-0.8602150538
-1.89,10,-0.8494623656
-1.84,10,-0.8387096774
-1.81,10,-0.8279569892
-1.79,10,-0.8172043011
-1.76,10,-0.8064516129
-1.71,10,-0.7956989247
-1.68,10,-0.7849462366
-1.65,10,-0.7741935484
-1.62,10,-0.7634408602
-1.59,10,-0.752688172
-1.56,10,-0.7419354839
-1.54,10,-0.7311827957
-1.50,10,-0.7204301075
-1.47,10,-0.7096774194
-1.44,10,-0.6989247312
-1.41,10,-0.688172043
-1.36,10,-0.6774193548
-1.33,10,-0.6666666667
-1.32,10,-0.6559139785
-1.29,10,-0.6451612903
-1.26,10,-0.6344086022
-1.22,10,-0.623655914
-1.19,10,-0.6129032258
-1.17,10,-0.6021505376
-1.14,10,-0.5913978495
-1.10,10,-0.5806451613
-1.08,10,-0.5698924731
-1.06,10,-0.5591397849
-1.02,10,-0.5483870968
-0.99,10,-0.5376344086
-0.97,10,-0.5268817204
-0.93,10,-0.5161290323
-0.91,10,-0.5053763441
-0.88,10,-0.4946236559
-0.85,10,-0.4838709677
-0.83,10,-0.4731182796
-0.80,10,-0.4623655914
-0.78,10,-0.4516129032
-0.75,10,-0.4408602151
-0.72,10,-0.4301075269
-0.70,10,-0.4193548387
-0.67,10,-0.4086021505
-0.65,10,-0.3978494624
-0.63,10,-0.3870967742
-0.61,10,-0.376344086
-0.58,10,-0.3655913978
-0.55,10,-0.3548387097
-0.53,10,-0.3440860215
-0.51,10,-0.3333333333
-0.49,10,-0.3225806452
-0.47,10,-0.311827957
-0.44,10,-0.3010752688
-0.42,10,-0.2903225806
-0.40,10,-0.2795698925
-0.38,10,-0.2688172043
-0.35,10,-0.2580645161
-0.34,10,-0.247311828
-0.31,10,-0.2365591398
-0.29,10,-0.2258064516
-0.28,10,-0.2150537634
-0.25,10,-0.2043010753
-0.24,10,-0.1935483871
-0.21,10,-0.1827956989
-0.20,10,-0.1720430108
-0.18,10,-0.1612903226
-0.16,10,-0.1505376344
-0.15,10,-0.1397849462
-0.14,10,-0.1290322581
-0.12,10,-0.1182795699
-0.10,10,-0.1075268817
-0.09,10,-0.09677419355
-0.07,10,-0.08602150538
-0.06,10,-0.0752688172
-0.05,10,-0.06451612903
-0.05,10,-0.05376344086
-0.03,10,-0.04301075269
0.00,10,-0.03225806452
0.00,10,-0.02150537634
0.00,10,-0.01075268817
0.00,10,0
0.00,10,0.01075268817
0.00,10,0.02150537634
0.00,10,0.03225806452
0.04,10,0.04301075269
0.05,10,0.05376344086
0.07,10,0.06451612903
0.08,10,0.0752688172
0.09,10,0.08602150538
0.11,10,0.09677419355
0.13,10,0.1075268817
0.15,10,0.1182795699
0.16,10,0.1290322581
0.18,10,0.1397849462
0.20,10,0.1505376344
0.22,10,0.1612903226
0.24,10,0.1720430108
0.26,10,0.1827956989
0.29,10,0.1935483871
0.31,10,0.2043010753
0.34,10,0.2150537634
0.36,10,0.2258064516
0.39,10,0.2365591398
0.41,10,0.247311828
0.44,10,0.2580645161
0.47,10,0.2688172043
0.49,10,0.2795698925
0.52,10,0.2903225806
0.55,10,0.3010752688
0.58,10,0.311827957
0.61,10,0.3225806452
0.64,10,0.3333333333
0.68,10,0.3440860215
0.70,10,0.3548387097
0.73,10,0.3655913978
0.76,10,0.376344086
0.80,10,0.3870967742
0.83,10,0.3978494624
0.85,10,0.4086021505
0.89,10,0.4193548387
0.92,10,0.4301075269
0.95,10,0.4408602151
0.98,10,0.4516129032
0.97,10,0.4623655914
1.05,10,0.4731182796
1.08,10,0.4838709677
1.11,10,0.4946236559
1.17,10,0.5053763441
1.18,10,0.5161290323
1.21,10,0.5268817204
1.24,10,0.5376344086
1.27,10,0.5483870968
1.31,10,0.5591397849
1.36,10,0.5698924731
1.41,10,0.5806451613
1.43,10,0.5913978495
1.48,10,0.6021505376
1.52,10,0.6129032258
1.55,10,0.623655914
1.58,10,0.6344086022
1.62,10,0.6451612903
1.66,10,0.6559139785
1.69,10,0.6666666667
1.73,10,0.6774193548
1.77,10,0.688172043
1.80,10,0.6989247312
1.85,10,0.7096774194
1.88,10,0.7204301075
1.91,10,0.7311827957
1.99,10,0.7419354839
2.00,10,0.752688172
2.06,10,0.7634408602
2.09,10,0.7741935484
2.12,10,0.7849462366
2.17,10,0.7956989247
2.21,10,0.8064516129
2.27,10,0.8172043011
2.30,10,0.8279569892
2.36,10,0.8387096774
2.41,10,0.8494623656
2.45,10,0.8602150538
2.48,10,0.8709677419
2.55,10,0.8817204301
2.58,10,0.8924731183
2.62,10,0.9032258065
2.65,10,0.9139784946
2.69,10,0.9247311828
2.74,10,0.935483871
2.77,10,0.9462365591
2.82,10,0.9569892473
2.88,10,0.9677419355
2.89,10,0.9784946237
2.92,10,0.9892473118
2.93,10,1
-2.90,12,-1
-2.92,12,-0.9892473118
-2.89,12,-0.9784946237
-2.83,12,-0.9677419355
-2.79,12,-0.9569892473
-2.76,12,-0.9462365591
-2.72,12,-0.935483871
-2.67,12,-0.9247311828
-2.60,12,-0.9139784946
-2.59,12,-0.9032258065
-2.56,12,-0.8924731183
-2.49,12,-0.8817204301
-2.44,12,-0.8709677419
-2.43,12,-0.8602150538
-2.39,12,-0.8494623656
-2.34,12,-0.8387096774
-2.30,12,-0.8279569892
-2.25,12,-0.8172043011
-2.23,12,-0.8064516129
-2.18,12,-0.7956989247
-2.14,12,-0.7849462366
-2.10,12,-0.7741935484
-2.07,12,-0.7634408602
-2.01,12,-0.752688172
-1.98,12,-0.7419354839
-1.95,12,-0.7311827957
-1.88,12,-0.7204301075
-1.85,12,-0.7096774194
-1.81,12,-0.6989247312
-1.78,12,-0.688172043
-1.73,12,-0.6774193548
-1.66,12,-0.6666666667
-1.65,12,-0.6559139785
-1.61,12,-0.6451612903
-1.56,12,-0.6344086022
-1.53,12,-0.623655914
-1.49,12,-0.6129032258
-1.47,12,-0.6021505376
-1.44,12,-0.5913978495
-1.40,12,-0.5806451613
-1.37,12,-0.5698924731
-1.33,12,-0.5591397849
-1.29,12,-0.5483870968
-1.28,12,-0.5376344086
-1.22,12,-0.5268817204
-1.19,12,-0.5161290323
-1.15,12,-0.5053763441
-1.12,12,-0.4946236559
-1.08,12,-0.4838709677
-1.04,12,-0.4731182796
-1.02,12,-0.4623655914
-0.99,12,-0.4516129032
-0.96,12,-0.4408602151
-0.93,12,-0.4301075269
-0.90,12,-0.4193548387
